Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
SM70(EB-10.15),pArSvarujaH/pArSvaSUlaH,पार्श्वरुजः/पार्श्वशूलः,-,"It is characterised by severe pain in both flanks. It may be asociated with restlessness, abdominal discomfort, lack of appetite, sleeplessness. This may be explained by: (a) Deranged digestive and metabolic factors, vitiated kapha, pitta and vata affecting the flanks.",Flank pain disorder (TM2)
SM71(EB-5),arocakaH,अरोचकः,-,It is characterised by loss of appetite. This may be explained by: (a) Vitiated dosha affecting the digestive and metabolic factors.,Anorexia disorder (TM2)
SM72(EB-9.4),raktajapravAhikA,रक्तजप्रवाहिका,-,"It is characterised by passing of blood mixed stools, pain, heaviness in anal region accompanied with the discharge of mucilaginous material and colicky abdominal pain. This may be explained by: (a) Vitiated pitta, blood affects the Descending vata.",Bowel inflammation disorder (TM2)
SM73 (MD-18),kShIrAlasakaH,क्षीरालसकः,-,"It is characterised by undigested foul smelling stools associated with gripping pain, abdominal distension, convulsive movements of body. This may be explained by: (a) Indigestion resulting from vitiation of breastmilk in the mother by all the three dosha.",Infantile tenesmus disorder (TM2)
SM74(EA-2),hikkA (hidhmA),हिक्का (हिध्मा),-,"It is characterised by uncontrolled hiccoughs which may be associated with dryness of tongue, throat, bitter sensation in mouth and thirst. (a) Vitiation of Kindling vata, Descending vata.",Hiccough disorder (TM2)
SM75(AAC-14),UrdhvavAtaH,ऊर्ध्ववातः,-,"It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions.",Dynamic intestinal obstruction disorder (TM2)
SM76(EB-3.7),visUcikA,विसूचिका,-,"It is characterised by profuse vomiting and diarrhoea, thirst,cold extremities. This may be explained by: (a) Impairment of digestive & metabolic factors resulting in expulsion of products resulting from incomplete digestion, transformation or metabolism from upper and lower orifice.",Severe vomiting and diarrhoea disorder (TM2)
SM80(ED-9.7.6),vRukkajavidradhiH,वृक्कजविद्रधिः,-,"It is characterised by burning micturition, haematuria, pus discharge, rigors, chills and fever. This may be explained by: (a) Aggravation of pittadosha affecting kidney.",Renal abscess disorder (TM2)
SM81(AAB-75),mUtranigrahaH (kEvalavAta),मूत्रनिग्रहः (केवलवात),-,"It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha.",Retention of urine disorder (TM2)
SM82 (EJ-3),mUtrAghAtaH,मूत्राघातः,-,"It is characterised by obstruction or retention in passage of urine, dribbling of urine, may be associated with pain, burning sensation in bladder, abdominal region. This may be explained by: (a) Aggravation of vata affecting bladder leading to laxity and retention of urine.",Insufficiency of the urinary bladder disorder (TM2)
SM83(AAC-22),tUnI,तूनी,-,"It is characterised by spasmodic pain in loin radiating to pubic region and thigh. It may be associated with haematuria, chills and fever. This may be explained by: (a) Obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain.",Renal colic disorder (TM2)
SM87 (EJ-4),mUtrakRucCram,मूत्रकृच्छ्रम्,-,"It is characterised by painful micturtion. This may be explained by: (a) Vitiated pittadosha, vatadosa causing erosion in urethral.",Dysuria disorder (TM2)
SM88 (EJ-3.9),vAtakuNDalikA,वातकुण्डलिका,-,It is characterised by dribbling of urine. This may be explained by: (a) Vitiated vata affecting the urinary bladder.,Dribbling of urine disorder (TM2)
SM89 (EJ-3.1),mUtraukasAdaH,मूत्रौकसादः,-,"It is characterised by passing of thick urine. This may be explained by: (a) Vitiation of kaphadosha, vatadosha.",Thick urine disorder (TM2)
SM8A (EF-2.3.4),lohitamehaH/raktamehaH,लोहितमेहः/रक्तमेहः,-,It is characterised by passing of blood in the urine. This may be explained by: (a) Vitiation of pitta and blood affecting urinary tract.,Haematuria disorder (TM2)
SM8B (EJ-3.7),vAtabastiH,वातबस्तिः,-,"It is characterised by Involuntary flow of urine. This may be explained by: (a) Vitiation of vata, excess pitta affecting urinary bladder.",Urinary incontinence disorder (TM2)
SM8C (EJ-2),aSmarI,अश्मरी,-,"It is characterised by pain in loins and groin, difficulty in micturition, burning micturition. This may be explained by: (a) Vatadosha drying up the kapha in the urinary tract.",Urinary stone disorder (TM2)
SM8D (EF-2),pramehaH,प्रमेहः,-,It is characterised by frequent and excessive urination. This may be explained by: (a) Vitiation of kapha along with watery part of the primary structural components of the body.,Polyuria disorder (TM2)
SM8E (EJ-3.4),mUtrakShayaH/mUtrasaMkShayaH,मूत्रक्षयः/मूत्रसंक्षयः,-,It is characterised by passage of urine in less quantity. This may be explained by: (a) Increase of vata.,Oliguria disorder (TM2)
SM90 (EL-2.9),arajaskA,अरजस्का,-,It is characterised by absence of menstruation may be primary or secondary. This may be explained by: (a) Pitta situated in the uterine region vitiating the blood.,Amenorrhoea disorder (TM2)
SM91 (EL-2.15),karNinI,कर्णिनी,-,"It is characterised by nodular swelling in genital organs, abnormal menstrual flow, vaginal discharge. This may be explained by: (a) Vitiated kapha affecting the cervix.",Endocervicitis disorder (TM2)
SM92 (EL-2.27),yonikandaH,योनिकन्दः,-,"It is characterised by a tuberous pear like swelling in the vaginal region may be associated with pus discharge, fistual formation. This may be explained by: (a) Vitiated pitta affecting skin, muscle and fat tissue.",Bartholin's cyst disorder (TM2)
SM93 (EL-5),somarogaH/SvetapradaraH,सोमरोगः/श्वेतप्रदरः,-,"It is characterised by excessive whitish vaginal discharge which may be associated with foul smell, lower abdominal pain, weakness. This may be explained by: (a) Vitiated kapha affecting the vaginal region.",Leucorrhoea disorder (TM2)
SM94 (EL-2.24),vandhyA,वन्ध्या,-,"""It is characterised by Inability to conceive may be due to primary or secondary amenorrhoea or other ovulation defects. This may be explained by: (a) Decrease or defects in primary product of digested food, vitiated pitta, vitiated kapha causing obstruction and vitiated vata casing irregular menstrual cycles.",Female infertility disorder (TM2)
SM96 (EL-2.10),udAvartinI,उदावर्तिनी,-,"It is characterised by painful menstruation, pain in groin region, backache, nausea and vomiting; relief of pain after menstruation; may be associated with discharge frothy menstrual fluid with clots. This may be explained by: (a) Vitiation of kapha, vata affecting nutritional fluid, blood.",Dysmenorrhoea disorder (TM2)
SM97 (EL-2.13),lohitakShayA/lohitakSharA,लोहितक्षया/लोहितक्षरा,-,"It is characterised by decreased blood flow during menstrual period. This may be explained by: (a) Vitiated vata affecting the nutritional fluid, blood in uterus region.",Hypomenorrhoea disorder (TM2)
SM98 (EL-4),asRugdaraH/raktapradaraH,असृग्दरः/रक्तप्रदरः,-,It is characterised by increase in the duration of menstrual period and the quantity of blood loss. This may be explained by: (a) Vititiation of pitta and blood.,Dysfunctional uterine bleeding disorder (TM2)
SM99 (EL-2.28),yoni-arSaH,योनि-अर्शः,-,"It is characterised by muscular growth in uterus or vagina, foul smelling discharge. This may be explained by: (a) Morbid dosha vitiating the skin, muscle and adipose tissue causing muscular growths in the uterus/vagina.",Uterine polyps disorder (TM2)
SM9A (EL-2.20),mahAyoniH/vivRutA,महायोनिः/विवृता,-,"It is characterised by descending of uterus, laxity of muscles around uterus, back pain, discharge from uterus. This may be explained by: (a) All the three dosha affecting the uterine region.",Uterine prolapse disorder (TM2)
SM9B (EL-2.14),viplutA,विप्लुता,-,"It is characterised by constant vaginal pain, inability allow intercourse. This may be explained by: (a) Vitiation of pitta, vata affecting vagina.",Vaginismus disorder (TM2)
SM9C (EL-9.1),makkallaH,मक्कल्लः,-,"It is characterised by pain in the lower abdomen, back pain, retention of urine, fever and may be associated with vaginal discharge. This may be explained by: (a) Vitiated blood affecting the uterus.",Metritis disorder (TM2)
SN,AScyotana-apacAraH,आश्च्योतन-अपचारः,-,-,complications of ophthalmic liquid medication
SN-1,AScyotana-ayogaH,आश्च्योतन-अयोगः,-,the disorder is characterized by vikāravr̥ddhiḥ/na rōgaśāntiḥ [aggravation of disease],inadequate āścyōtana
SN-2,AScyotana-atiyogaH,आश्च्योतन-अतियोगः,-,"the disorder is characterized by kaṣāyavartmatā [lids getting hard and causing sound], gharṣam [rubbing friction], kr̥cchrāt unmēṣaṇam [difficulty in opening the lids], saṅkōcaḥ [contraction of eyelids], sphuraṇam [pulsating sensation], unmīlanam [winking of eyelids], pravāta-asahatvam [unable to tolerate wind]",over administration of āścyōtana
SN-3,atiSIta-AScyotanaH,अतिशीत-आश्च्योतनः,-,"the disorder is characterized by nistōdaḥ [pricking type of pain], staṁbhaḥ [fixedness of eye], vēdanā [pain], aśruḥ [lacrimation], gharṣaḥ [rubbing friction]",complications of cold āścyōtana
SN-4,atyuShNatIkShNa-AScyotanaH,अत्युष्णतीक्ष्ण-आश्च्योतनः,-,"the disorder is characterized by ruk [pain], rāgaḥ [redness/congestion], dr̥knāśaḥ [loss of vision], dāhaḥ [burning sensation], pākaḥ [inflammation/suppuration], dr̥ṣṭidaurbalyam [debility of vision]",complications of hot āścyōtana
SN-5,aparisruta-AScyotanaH,अपरिस्रुत-आश्च्योतनः,-,"the disorder is characterized by aśruḥ [lacrimation], gharṣaḥ [rubbing friction], vēdanā [pain], saṁrambhaḥ [redness/ congesion/ inflammation]",use of un-filtered āścyōtana material
SN00(ABB-31),meDhrapAkaH (kEvalapitta),मेढ्रपाकः (केवलपित्त),-,"It is characterised by painful swelling and redness of the penis may be associated with radiating pain to loin and thigh region. This may be explained by: (a) Aggravation of pitta affecting skin, muscle resulting in inflammation.",Balanitis disorder (TM2)
SN01 (EI-6),vRuddhiH,वृद्धिः,-,"It is characterised by accumulation of fluid in the scrotum, scrotal tissues. It may be associated with pain. This may be explained by: (a) Increase of pitta, vata, kapha leading to laxity of muscles and accumulation of fluids.",Hydrocele disorder (TM2)
SN02 (EI-2),klaibyam,क्लैब्यम्,-,"""It is characterised by inability to indulge in sexual act in spite of having desire due to erectile dysfunction This may be explained by: (a) Vitiated vata affecting male genitalia.",Erectile dysfunction disorder (TM2)
SN03(AAB-97),SukrakShayaH (kEvalavAta),शुक्रक्षयः (केवलवात),-,"It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.",Oligospermia disorder (TM2)
SN04 (EF-2.5.6),sarShapikA-pramehapiDakA,सर्षपिका-प्रमेहपिडका,-,It is characterised by mustard seed like boils in the penis. This may be explained by: (a) Vitiated kapha and blood localising over the penis.,Mustard- size boils on penis disorder (TM2)
SN04 (EF-2.5.6),sarShapikA-pramehapiDakA,सर्षपिका-प्रमेहपिडका,-,It is characterised by mustard seed like boils in the penis. This may be explained by: (a) Vitiated kapha and blood localising over the penis.,Mustard- size boils on penis disorder (TM2)
SN06 (EE-3.14),meDhraja-arSaH,मेढ्रज-अर्शः,-,"It is characterised by small linear growth over the penis. This may be explained by: (a) Morbid dosha vitiating the skin, muscle and adipose tissue causing muscular growths in the penile region.",Penile growth disorder (TM2)
SN07(AAB-99),SePastamBaH (kEvalavAta),शेफस्तम्भः (केवलवात),-,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.,Priapism disorder (TM2)
SN08(AAC-7),vAtAShThIlA,वाताष्ठीला,-,"It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system.",Prostatic enlargement disorder (TM2)
SN09 (EJ-3.11),mUtraSukraH,मूत्रशुक्रः,-,It is characterised by abnormal uncontrolled emission of semen with erotic thoughts or during passing of urine. This may be explained by: (a) Vitiated vata pushing semen along with urine.,Spermatorrhoea disorder (TM2)
SN0A (O-25),niruddhaprakaSaH,निरुद्धप्रकशः,-,"It is characterised by obstruction of urethral meatus with the non retractable foreskin. This may be explained by: (a) Associated with local pain, dysuria, dribbling of urine.",Phimosis disorder (TM2)
SN10(BA-4.1),stanyakShayaH,स्तन्यक्षयः,-,It is characterised by decreased or cessation of secretion of breast milk may be associated with decreased size of the breast. This may be explained by: (a) Aggravation of vatadosha and decreased primary product of digested food resulting in reduced breast milk production.,Decreased breastmilk disorder (TM2)
SN11(EC-4),stanyaduShTiH/kShIradoShaH,स्तन्यदुष्टिः/क्षीरदोषः,-,"It is characterised by regurgitation of milk, indigestion in the child. This may be explained by: (a) Weak digestive and metabolic factors, vitiated kapha, pitta, vata in the mother; and child after consuming mother's milk.",Vitiated breast milk disorder (TM2)
SN12 (EL-2.12),jAtaghnI/putraghnI,जातघ्नी/पुत्रघ्नी,-,It is characterised by three or more consecutive spontaneous abortions. This may be explained by: (a) Vitiated Vata affecting the uterus.,Recurrent pregnancy loss disorder (TM2)
SN30 (EI-5),upadaMSaH,उपदंशः,-,"It is characterised painful or burning micturition, discharge of pus in urine, also associated with urethral swelling. This may be explained by: (a) Physical injury, unhygienic sexual practices affecting three dosha, blood separately or in combination all of them, leading to development of lesions on the genitals.",Gonorrhoea disorder (TM2)
SN31 (ED-11),Pira~ggaH,फिरङ्गः,-,"It is characterised by painless, hard ulcers on the genetalia may be associated with discharge. This may be explained by: (a) Involvement of the three dosha and tissues such as blood, muscle and bone, which causes ulcer.",Syphillis disorder (TM2)
SN40 (O-38),rakasA,रकसा,-,"It is characterised by reddish discoloration, burning sensation of skin. This may be explained by: (a) Vitiated three dosha affecting the skin, blood, muscle tissues.",Dermatitis disorder (TM2)
SN41 (AAB-27),kArShNyam (kEvalavAta),कार्ष्ण्यम् (केवलवात),-,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,Discoloration of body disorder (TM2)
SN42(AAB-77),raukShyam (kEvalavAta),रौक्ष्यम् (केवलवात),-,"It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin",Dryness of skin disorder (TM2)
SN43 (ED-4.3.10),vicarcikA,विचर्चिका,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha.",Eczema disorder (TM2)
SN43 (ED-4.3.10),vicarcikA,विचर्चिका,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha.",Eczema disorder (TM2)
SN44(ABB-2),a~ggagandhaH (kEvalapitta),अङ्गगन्धः (केवलपित्त),-,"It is characterised by foul smelling sweat from palm, sole, axilla and groin region. This may be explained by: (a) Predominance of vitiated pitta affecting the skin.",Foul body smelling disorder (TM2)
SN45(CC-2),vegarodhaja-rAjayakShmA,स्वेदवृद्धिः,-,It is characterised by excessive sweating. This may be explained by: (a) Increased pittadosha.,Excess of sweat disorder (TM2)
SN46(ED-4.3.8),pAmA (kacCU),पामा (कच्छू),-,"It is characterised by red papular eruptions over the skin with severe itching and burning and involve mostly hands between fingers, legs, groin and sometimes whole body. This may be explained by: (a) Indigestion, weak digestive and metabolic factors, vitiation of kapha, pitta affecting the skin, integuments.",Scabies disorder (TM2)
SN47 (ED-19),snAyukarogaH,स्नायुकरोगः,-,"It is characterised by ulceration of eruptions, a red thread like worm comes out from it which is quite long and its length gradually increases. This may be explained by: (a) Unhygienic conditions leading to vitiation of kapha, blood, skin making susceptible for worm infestation.",Dracunculosis disorder (TM2)
SN48 (O-6),alasaH,अलसः,-,"It is characterised by sticky moistness, itching, burning sensation of interdigital areas of feet. This may be explained by: (a) Vitiation of kaphadosha, pittadosha affecting skin, blood, muscle.",Intertrigo disorder (TM2)
SN49(ED-4.4),dhAtugatakuShThaH,धातुगतकुष्ठः,-,"It is characterised by hypopigmented patches of the skin, loss of sensation, deformity and derangement of shape of the organs with or without purulent discharge. This may be explained by: (a) Vitiation of all the three dosha and seven tissues.",Integumentary disorder (TM2)
SN4A(ED-4.2.7),sidhmaH,सिध्मः,-,"It is characterised by roughening and hardening of part of skin, whitish scaling, less itching, dryness of skin. This may be explained by: (a) Vitiated vatadosha and kapadosha affecting the skin.",Psoriasis disorder (TM2)
SN4B(ED-4.3.1),ekakuShThaH,एककुष्ठः,-,"It is characterised by appearance of skin similar to scales of fish, roughness of skin, sloughing of skin, absence of sweating. This may be explained by: (a) Vitiated vata and kapa dosha affecting the skin.",Ichthyosis disorder (TM2)
SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),केशभूमिस्फुटनम् (केवलवात),-,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,Scaling of scalp and forehead skin disorder (TM2)
SN4E (O-23),tilakaH/tilakAlaka,तिलकः/तिलकालक,-,"It is characterised by appearance of black spots on the body, painless. This may be explained by: (a) Vitiation of all the three dosha.",Lentigo disorder (TM2)
SN4F (O-21),jatumaNiH,जतुमणिः,-,"It is characterised by congential blackish, reddish painless circular lesion. This may be explained by: (a) Vitiated kaphadosha and blood.",Birth mark - blackish red disorder (TM2)
SN4G (O-42),vya~ggaH,व्यङ्गः,-,"It is characterised by appearance of bluish, black or red spots united to form a patch on the face. This may be explained by: (a) Vitiated vata and pitta affecting the skin of the face.",Melasma disorder (TM2)
SN4L (O-10),koThaH,कोठः,-,It is characterised by reddish raised circular rashes with itching. This may be explained by: (a) Vitiation of pittadosha and kaphadosha.,Wheal disorder (TM2)
SN4N (O-36),rAjikA,राजिका,-,It is characterised by appearance of multiple small prickly eruptions all over the skin. This may be explained by: (a) It is caused due to increased pitta.,Prickly heat disorder (TM2)
SN4P (O-46),visPoTakaH,विस्फोटकः,-,It is characterised by appearance of eruption of skin with collection of fluid; may be associated with fever. This may be explained by: (a) Pitta localising in the skin.,Pemphigus vulgaris disorder (TM2)
SN4R(AAB-57),pAruShyam (kEvalavAta),पारुष्यम् (केवलवात),-,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,Roughness of skin disorder (TM2)
SN4S (O-19),carmakIlaH,चर्मकीलः,-,"It is characterised by hard nail like eruptions of variable shapes and sizes appearing on the surface of skin. This may be explained by: (a) Weak digestive and metabolic factors, vitiation of primary product of digested food leading to vitiation of vata affecting the blood, muscle, fat and skin.",Verruca disorder (TM2)
SN4T (O-12),kakShAH,कक्षाः,-,-,Herpes disorder (TM2)
SN4U(ED-4.3.6),dadru-kuShThaH,दद्रु-कुष्ठः,-,"It is characterised by itching, roughness of skin, elevated ring shaped lesion with or without scaling, and blackish or reddish discoloration. This may be explained by: (a) Vitiation of kapha.",Ring worm infection disorder (TM2)
SN4V (O-35),yuvAnapiDakA (mukhadUShikA),युवानपिडका (मुखदूषिका),-,"It is characterised by small, milky white eruptions appear on face, especially on cheeks and nose during adolescence. This may be explained by: (a) Aggravation of pitta, kapha affecting fatty tissue.",Acne disorder (TM2)
SN4W (K),vraNaH,व्रणः,-,"It is characterised by discountinuity of structure (ulceration) due to injury or internal causes. This may be explained by: (a) Vitiation of vatadosha, pittadosha affecting skin and muscle.",Ulcer disorder (TM2)
SN60(AAB-49),nakhaBedaH (kEvalavAta),नखभेदः (केवलवात),-,"It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",Brittle nails disorder (TM2)
SN70 (O-7),arUMShikA,अरूंषिका,-,It is characterised by multiple opening lesion and excessive soddening in the scalp. This may be explained by: (a) Vitiated kapha and blood localising over the scalp.,Furunculosis of scalp disorder (TM2)
SN71 (FA-3),khAlityam/khalati,खालित्यम्/खलति,-,It is characterised by falling of scalp hair. This may be explained by: (a) Aggravated vata and pitta affecting the hair roots followed by closure of hair root.,Baldness disorder (TM2)
SN73 (FA-2),akAlapalitaH/palitaH,अकालपलितः/पलितः,-,"It is characterised by untimely greying of the hair. This may be explained by: (a) Increased pitta, vata cause premature greying of the hair.",Premature greying of hair disorder (TM2)
SN90 (O-39),rUhyA/ indraluptaH,रूह्या/ इन्द्रलुप्तः,-,"It is characterised by falling of hair in the form of patches from scalp, beard and eyebrows leaving shiny patches. This may be explained by: (a) Aggravated vatadosha and pittadosha affecting the hair roots.",Patchy alopecia disorder (TM2)
SN91 (FA-4),dAruNakaH,दारुणकः,-,"It is characterised by dryness of the scalp, appearance of husk like flakes on the scalp, itching, ulceration. This may be explained by: (a) Increased dryness due to vata and kapha affecting the scalp.",Dandruff disorder (TM2)
SN92(ED-2.9),piDakA,पिडका,-,"It is characterised by red eruptions with suppuration and multiple openings, severe burning sensation. This may be explained by: (a) Vitiation of blood, flesh and fat.",Carbuncle disorder (TM2)
SO,a~jajana-apacAraH,अञजन-अपचारः,-,-,complications of collyrium
SO-1,a~jjana-mithyAyogaH,अञ्जन-मिथ्यायोगः,-,"the disorder is characterized by saṁrambhaḥ [redness/ congesion/ inflammation], aśruḥ [lacrimation], vēdanā [pain], āvilatvam [turbidity/dirtiness], uṣā [burning sensation with sweating and restlessness], rāgaḥ [redness/congestion], dūṣikā [rheum], nistōdam [pricking type of pain], kr̥cchrōnmīlanam [difficulty in opening the eyelids], śvayathuḥ [swelling], śukraḥ [A morbid affection of the iris, change of colour, ulceration, and accompanied by imperfect vision], timiraḥ [errors of refraction/partial blindness]",complications of improper collyrium
SO-2,a~jjanAtiyogaH,अञ्जनातियोगः,-,"the disorder is characterized by santāpaḥ [burning sensation], nistōdaḥ [pricking type of pain], śūlam [intermittent pain], stambhaḥ [loss of movement], gharṣaḥ [rubbing friction], aśru [lacrimation], dāruṇapratibōdhaḥ [difficulty in opening the lids], kaṣāyavartmatā [lids getting hard and causing sound], śirōruk [headache], dr̥ṣṭidaurbalyam [debility of vision]",over application of collyrium
SO-3,lekhanA~jjana-apacAraH,लेखनाञ्जन-अपचारः,-,-,complications of scraping collyrium
SO-3.1,lekhanA~jjana-ayogaH,लेखनाञ्जन-अयोगः,-,"the disorder is characterized by ugrataradōṣavat [aggressive form], []",inadequate scraping collyrium
SO-3.2,lekhanA~jjana-atiyogaH,लेखनाञ्जन-अतियोगः,-,"the disorder is characterized by jihmanētram [distortion of eyes or vision], dāruṇanētram [hardness in eyes], durvarṇanētram [discoloration of eyes], srastanētram [flabbiness], atīvarūkṣanētram [excessive dryness of eyes], atimātraṁ syandatē [excessive lacrimation]",over application of scraping collyrium
SO-4,prasAdA~jjana-apacAraH,प्रसादाञ्जन-अपचारः,-,-,complications of soothing collyrium
SO-4.1,prasAdA~jjana-ayogaH,प्रसादाञ्जन-अयोगः,-,the disorder is characterized by apārthakam [insufficient dosage produce no effect at all],inadequate soothing collyrium
SO-4.2,prasAdanA~jjana-atiyogaH,प्रसादनाञ्जन-अतियोगः,-,-,over application of soothing collyrium
SO-5,ropaNA~jjana-apacAraH,रोपणाञ्जन-अपचारः,-,-,complication of healing collyrium
SO-5.1,ropaNA~jjana-ayogaH,रोपणाञ्जन-अयोगः,-,the disorder is characterized by apārthakam [insufficient dosage produce no effect at all],inadequate healing collyrium
SO-5.2,ropaNA~jjana-atiyogaH,रोपणाञ्जन-अतियोगः,-,-,over application of healing collyrium
SP,tarpaNa-apacAraH,तर्पण-अपचारः,-,-,complication of soothing
SP-1,tarpaNa-hInayogaH,तर्पण-हीनयोगः,-,"the disorder is characterized by rūkṣanētram [dry eyes], āvilanētram [turbid eyes], asrāḍhyanētram [excessive lacrimation], asahaṁ rūpadarśanē [photophobia/ intolerance to perceive vision], vyādhivr̥ddhiḥ [increase in disease characters]",inadequate tarpaṇa
SP-2,tarpaNa-atiyogaH,तर्पण-अतियोगः,-,"the disorder is characterized by gurunētram [heaviness of eye], āvilanētram [confused eyes/ turbid eye], atisnigdhanētram [excessive unctuousness of eye], aśruḥ [lacrimation], kaṇḍūḥ [itching], upadēhaḥ [greasiness], dōṣasamutkliṣṭam [afflicted by dōṣa]",over application of tarpaṇa
SP00(AAC-6),asthiSoShaH,अस्थिशोषः,-,"It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha.",Osteoporosis disorder (TM2)
SP11(EC-6),AmavAtaH,आमवातः,-,"It is characterised by inflammation and pain of joints, fever with chills and rigors, involvement of other organs such as heart. This may be explained by: (a) Increased vata associated with ama.",Rheumatism disorder (TM2)
SP12(AAE-16),sandhigatavAtaH,सन्धिगतवातः,-,"It is characterised by pain, swelling, stiffness, hardening and restricted movements of the joint. This may be explained by: (a) Increased vata affecting the joint leading to degenerative changes.",Osteoarthritis disorder (TM2)
SP15(AAC-8),avabAhukaH,अवबाहुकः,-,"""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region.",Frozen shoulder disorder (TM2)
SP20(AAC-19),khallI,खल्ली,-,"It is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. It may be shifting in nature. This may be explained by: (a) Severe vitiation of vatadosha.","Muscle pain, twisting disorder (TM2)"
SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),अङ्गविभ्रंशः (केवलवात),-,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",Atony disorder (TM2)
SP40(AAC-34),vAtakaNTakam,वातकण्टकम्,-,It is characterised by pain in heel especially during walking. This may be explained by: (a) Increased vatadosha affecting the heel.,Achillodynia disorder (TM2)
SP41(AAC-20),gRudhrasI,गृध्रसी,-,"It is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. This may be explained by: (a) Vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain).",Sciatica disorder (TM2)
SP42(AAB-61),pRuShTha-grahaH (kEvalavAta),पृष्ठ-ग्रहः (केवलवात),-,"It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.",Lumbar spondylosis disorder (TM2)
SP45 (AAB-33),grIvAstamBaH (kEvalavAta),ग्रीवास्तम्भः (केवलवात),-,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.",Cervical spondylosis disorder (TM2)
SP51(EC-3),jvaraH,ज्वरः,-,It is characterised by increased body temperature leading to disturbance in normal functions of the body. This may be explained by: (a) Any of the three dosha affecting the primary product of digested food.,Fever disorder (TM2)
SP52(EC-3.4),kaPajajvaraH,कफजज्वरः,-,"It is characterised by persistent low grade fever associated with indigestion, heaviness, decreased thirst, excessive salivation, weakness, expectoration. This may be explained by: (a) increased kapa dosha affecting the primary product of digested food and leading to weakness of digestive and metabolic factors.",Fever disorder with excessive salivation (TM2)
SP53(EC-3.3),paittikajvaraH,पैत्तिकज्वरः,-,"It is characterised by high fever, dizziness, yellowish, reddish discoloration of various body parts, excessive thirst, bitter taste in mouth. This may be explained by: (a) Increased pitta affecting the primary product of digested food and leading to weakness of digestive and metabolic factors.",High fever disorder with yellow discouloration (TM2)
SP54(EC-3.2),vAtikajvaraH,वातिकज्वरः,-,"It is characterised by body pain, blackish discoloration of body, irregular fever, constipation. This may be explained by: (a) Increased vata affecting the primary product of digested food and leading to weakness of digestive and metabolic factors.",Fever with body pain disorder (TM2)
SP57(EC-3.10),viShamajvaraH,विषमज्वरः,-,"It is characterised by irregular onset, remission and episodes of fever. This may be explained by: (a) It is caused by any of the three dosha affecting the dhathu.",Intermittent fever disorder (TM2)
SP58(EC-3.10.2),santata-viShamajvaraH,सन्तत-विषमज्वरः,-,It is characterised by continous fever. This may be explained by: (a) Three dosha affecting primarily primary product of digested food.,Continuous fever disorder (TM2)
SP59(EC-3.9),AgantujvaraH,आगन्तुज्वरः,-,"It is characterised by transient increased body temperature due to external factors like poison, sorrow, grief, excessive anger, etc. This may be explained by: (a) Vitiation of dosha due to external causes.",Fever disorder due to external factor (TM2)
